from_block,well,base_strain,receptor,anchor,nanobody,negsel,dilution,notes
3,H3,yNP22426,,,,,,
3,H4,yNP22428,,,,,,
3,H5,yNP22429,,,,,,
3,H6,yNP22430,,,,,,
3,H7,yNP22448,,,,,,
3,H8,yNP22449,,,,,,
3,H9,yNP22450,,,,,,
3,H10,yNP22452,,,,,,
3,H11,yNP22453,,,,,,
3,H12,yNP22454,,,,,,
4,A1,yNP22434,,,,,,
4,A2,yNP22435,,,,,,
4,A3,yNP22438,,,,,,
4,A4,yNP22443,,,,,,
4,A5,yNP22444,,,,,,
4,A6,yNP22445,,,,,,
4,A7,yNP22446,,,,,,
4,A8,yNP22447,,,,,,
4,A9,yNP22451,,,,,,
4,A10,yNP22455,,,,,,
4,A11,yNP22456,,,,,,
4,A12,yNP22457,,,,,,
4,B1,yNP22434,,,,,,
4,B2,yNP22435,,,,,,
4,B3,yNP22438,,,,,,
4,B4,yNP22443,,,,,,
4,B5,yNP22444,,,,,,
4,B6,yNP22445,,,,,,
4,B7,yNP22446,,,,,,
4,B8,yNP22447,,,,,,
4,B9,yNP22451,,,,,,
4,B10,yNP22455,,,,,,
4,B11,yNP22456,,,,,,
4,B12,yNP22457,,,,,,
4,C1,yNP22434,,,,,,
4,C2,yNP22435,,,,,,
4,C3,yNP22438,,,,,,
4,C4,yNP22443,,,,,,
4,C5,yNP22444,,,,,,
4,C6,yNP22445,,,,,,
4,C7,yNP22446,,,,,,
4,C8,yNP22447,,,,,,
4,C9,yNP22451,,,,,,
4,C10,yNP22455,,,,,,
4,C11,yNP22456,,,,,,
4,C12,yNP22457,,,,,,
4,D1,yNP22434,,,,,,
4,D2,yNP22435,,,,,,
4,D3,yNP22438,,,,,,
4,D4,yNP22443,,,,,,
4,D5,yNP22444,,,,,,
4,D6,yNP22445,,,,,,
4,D7,yNP22446,,,,,,
4,D8,yNP22447,,,,,,
4,D9,yNP22451,,,,,,
4,D10,yNP22455,,,,,,
4,D11,yNP22456,,,,,,
4,D12,yNP22457,,,,,,
4,E1,yNP22434,,,,,,
4,E2,yNP22435,,,,,,
4,E3,yNP22438,,,,,,
4,E4,yNP22443,,,,,,
4,E5,yNP22444,,,,,,
4,E6,yNP22445,,,,,,
4,E7,yNP22446,,,,,,
4,E8,yNP22447,,,,,,
4,E9,yNP22451,,,,,,
4,E10,yNP22455,,,,,,
4,E11,yNP22456,,,,,,
4,E12,yNP22457,,,,,,
4,F1,yNP22434,,,,,,
4,F2,yNP22435,,,,,,
4,F3,yNP22438,,,,,,
4,F4,yNP22443,,,,,,
4,F5,yNP22444,,,,,,
4,F6,yNP22445,,,,,,
4,F7,yNP22446,,,,,,
4,F8,yNP22447,,,,,,
4,F9,yNP22451,,,,,,
4,F10,yNP22455,,,,,,
4,F11,yNP22456,,,,,,
4,F12,yNP22457,,,,,,
4,G1,yNP22434,,,,,,
4,G2,yNP22435,,,,,,
4,G3,yNP22438,,,,,,
4,G4,yNP22443,,,,,,
4,G5,yNP22444,,,,,,
4,G6,yNP22445,,,,,,
4,G7,yNP22446,,,,,,
4,G8,yNP22447,,,,,,
4,G9,yNP22451,,,,,,
4,G10,yNP22455,,,,,,
4,G11,yNP22456,,,,,,
4,G12,yNP22457,,,,,,
4,H1,yNP22434,,,,,,
4,H2,yNP22435,,,,,,
4,H3,yNP22438,,,,,,
4,H4,yNP22443,,,,,,
4,H5,yNP22444,,,,,,
4,H6,yNP22445,,,,,,
4,H7,yNP22446,,,,,,
4,H8,yNP22447,,,,,,
4,H9,yNP22451,,,,,,
4,H10,yNP22455,,,,,,
4,H11,yNP22456,,,,,,
4,H12,yNP22457,,,,,,
5,A1,yNP22434,,,,,,
5,A2,yNP22435,,,,,,
5,A3,yNP22438,,,,,,
5,A4,yNP22443,,,,,,
5,A5,yNP22444,,,,,,
5,A6,yNP22445,,,,,,
5,A7,yNP22446,,,,,,
5,A8,yNP22447,,,,,,
5,A9,yNP22451,,,,,,
5,A10,yNP22455,,,,,,
5,A11,yNP22456,,,,,,
5,A12,yNP22457,,,,,,
5,B1,yNP22434,,,,,,
5,B2,yNP22435,,,,,,
5,B3,yNP22438,,,,,,
5,B4,yNP22443,,,,,,
5,B5,yNP22444,,,,,,
5,B6,yNP22445,,,,,,
5,B7,yNP22446,,,,,,
5,B8,yNP22447,,,,,,
5,B9,yNP22451,,,,,,
5,B10,yNP22455,,,,,,
5,B11,yNP22456,,,,,,
5,B12,yNP22457,,,,,,
5,C1,yNP22436,,,,,,
5,C2,yNP22437,,,,,,
5,C3,yNP22438,,,,,,
5,C4,yNP22440,,,,,,
5,C5,yNP22441,,,,,,
5,C6,yNP22442,,,,,,
5,C7,yNP22448,,,,,,
5,C8,yNP22449,,,,,,
5,C9,yNP22451,,,,,,
5,C10,yNP22452,,,,,,
5,C11,yNP22453,,,,,,
5,C12,yNP22454,,,,,,
5,D1,yNP22436,,,,,,
5,D2,yNP22437,,,,,,
5,D3,yNP22438,,,,,,
5,D4,yNP22440,,,,,,
5,D5,yNP22441,,,,,,
5,D6,yNP22442,,,,,,
5,D7,yNP22448,,,,,,
5,D8,yNP22449,,,,,,
5,D9,yNP22451,,,,,,
5,D10,yNP22452,,,,,,
5,D11,yNP22453,,,,,,
5,D12,yNP22454,,,,,,
5,E1,yNP22436,,,,,,
5,E2,yNP22437,,,,,,
5,E3,yNP22438,,,,,,
5,E4,yNP22440,,,,,,
5,E5,yNP22441,,,,,,
5,E6,yNP22442,,,,,,
5,E7,yNP22448,,,,,,
5,E8,yNP22449,,,,,,
5,E9,yNP22451,,,,,,
5,E10,yNP22452,,,,,,
5,E11,yNP22453,,,,,,
5,E12,yNP22454,,,,,,
5,F1,yNP22436,,,,,,
5,F2,yNP22437,,,,,,
5,F3,yNP22438,,,,,,
5,F4,yNP22440,,,,,,
5,F5,yNP22441,,,,,,
5,F6,yNP22442,,,,,,
5,F7,yNP22448,,,,,,
5,F8,yNP22449,,,,,,
5,F9,yNP22451,,,,,,
5,F10,yNP22452,,,,,,
5,F11,yNP22453,,,,,,
5,F12,yNP22454,,,,,,
5,G1,yNP22436,,,,,,
5,G2,yNP22437,,,,,,
5,G3,yNP22438,,,,,,
5,G4,yNP22440,,,,,,
5,G5,yNP22441,,,,,,
5,G6,yNP22442,,,,,,
5,G7,yNP22448,,,,,,
5,G8,yNP22449,,,,,,
5,G9,yNP22451,,,,,,
5,G10,yNP22452,,,,,,
5,G11,yNP22453,,,,,,
5,G12,yNP22454,,,,,,
5,H1,yNP22436,,,,,,
5,H2,yNP22437,,,,,,
5,H3,yNP22438,,,,,,
5,H4,yNP22440,,,,,,
5,H5,yNP22441,,,,,,
5,H6,yNP22442,,,,,,
5,H7,yNP22448,,,,,,
5,H8,yNP22449,,,,,,
5,H9,yNP22451,,,,,,
5,H10,yNP22452,,,,,,
5,H11,yNP22453,,,,,,
5,H12,yNP22454,,,,,,
6,A1,yNP22436,,,,,,
6,A2,yNP22437,,,,,,
6,A3,yNP22438,,,,,,
6,A4,yNP22440,,,,,,
6,A5,yNP22441,,,,,,
6,A6,yNP22442,,,,,,
6,A7,yNP22448,,,,,,
6,A8,yNP22449,,,,,,
6,A9,yNP22451,,,,,,
6,A10,yNP22452,,,,,,
6,A11,yNP22453,,,,,,
6,A12,yNP22454,,,,,,
6,B1,yNP22436,,,,,,
6,B2,yNP22437,,,,,,
6,B3,yNP22438,,,,,,
6,B4,yNP22440,,,,,,
6,B5,yNP22441,,,,,,
6,B6,yNP22442,,,,,,
6,B7,yNP22448,,,,,,
6,B8,yNP22449,,,,,,
6,B9,yNP22451,,,,,,
6,B10,yNP22452,,,,,,
6,B11,yNP22453,,,,,,
6,B12,yNP22454,,,,,,
6,C1,yNP22436,,,,,,
6,C2,yNP22437,,,,,,
6,C3,yNP22438,,,,,,
6,C4,yNP22440,,,,,,
6,C5,yNP22441,,,,,,
6,C6,yNP22442,,,,,,
6,C7,yNP22448,,,,,,
6,C8,yNP22449,,,,,,
6,C9,yNP22451,,,,,,
6,C10,yNP22452,,,,,,
6,C11,yNP22453,,,,,,
6,C12,yNP22454,,,,,,
6,D1,yNP22436,,,,,,
6,D2,yNP22437,,,,,,
6,D3,yNP22438,,,,,,
6,D4,yNP22440,,,,,,
6,D5,yNP22441,,,,,,
6,D6,yNP22442,,,,,,
6,D7,yNP22448,,,,,,
6,D8,yNP22449,,,,,,
6,D9,yNP22451,,,,,,
6,D10,yNP22452,,,,,,
6,D11,yNP22453,,,,,,
6,D12,yNP22454,,,,,,
6,E1,yNP22436,,,,,,
6,E2,yNP22437,,,,,,
6,E3,yNP22438,,,,,,
6,E4,yNP22440,,,,,,
6,E5,yNP22441,,,,,,
6,E6,yNP22442,,,,,,
6,E7,yNP22448,,,,,,
6,E8,yNP22449,,,,,,
6,E9,yNP22451,,,,,,
6,E10,yNP22452,,,,,,
6,E11,yNP22453,,,,,,
6,E12,yNP22454,,,,,,
6,F1,yNP22436,,,,,,
6,F2,yNP22437,,,,,,
6,F3,yNP22438,,,,,,
6,F4,yNP22440,,,,,,
6,F5,yNP22441,,,,,,
6,F6,yNP22442,,,,,,
6,F7,yNP22448,,,,,,
6,F8,yNP22449,,,,,,
6,F9,yNP22451,,,,,,
6,F10,yNP22452,,,,,,
6,F11,yNP22453,,,,,,
6,F12,yNP22454,,,,,,
6,G1,yNP22436,,,,,,
6,G2,yNP22437,,,,,,
6,G3,yNP22438,,,,,,
6,G4,yNP22440,,,,,,
6,G5,yNP22441,,,,,,
6,G6,yNP22442,,,,,,
6,G7,yNP22448,,,,,,
6,G8,yNP22449,,,,,,
6,G9,yNP22451,,,,,,
6,G10,yNP22452,,,,,,
6,G11,yNP22453,,,,,,
6,G12,yNP22454,,,,,,
6,H1,yNP22436,,,,,,
6,H2,yNP22437,,,,,,
6,H3,yNP22438,,,,,,
6,H4,yNP22440,,,,,,
6,H5,yNP22441,,,,,,
6,H6,yNP22442,,,,,,
6,H7,yNP22448,,,,,,
6,H8,yNP22449,,,,,,
6,H9,yNP22451,,,,,,
6,H10,yNP22452,,,,,,
6,H11,yNP22453,,,,,,
6,H12,yNP22454,,,,,,
7,A1,yNP22422,,,,,,
7,A2,yNP22423,,,,,,
7,A3,yNP22426,,,,,,
7,A4,yNP22431,,,,,,
7,A5,yNP22432,,,,,,
7,A6,yNP22433,,,,,,
7,A7,yNP22446,,,,,,
7,A8,yNP22447,,,,,,
7,A9,yNP22450,,,,,,
7,A10,yNP22455,,,,,,
7,A11,yNP22456,,,,,,
7,A12,yNP22457,,,,,,
7,B1,yNP22422,,,,,,
7,B2,yNP22423,,,,,,
7,B3,yNP22426,,,,,,
7,B4,yNP22431,,,,,,
7,B5,yNP22432,,,,,,
7,B6,yNP22433,,,,,,
7,B7,yNP22446,,,,,,
7,B8,yNP22447,,,,,,
7,B9,yNP22450,,,,,,
7,B10,yNP22455,,,,,,
7,B11,yNP22456,,,,,,
7,B12,yNP22457,,,,,,
7,C1,yNP22422,,,,,,
7,C2,yNP22423,,,,,,
7,C3,yNP22426,,,,,,
7,C4,yNP22431,,,,,,
7,C5,yNP22432,,,,,,
7,C6,yNP22433,,,,,,
7,C7,yNP22446,,,,,,
7,C8,yNP22447,,,,,,
7,C9,yNP22450,,,,,,
7,C10,yNP22455,,,,,,
7,C11,yNP22456,,,,,,
7,C12,yNP22457,,,,,,
7,D1,yNP22422,,,,,,
7,D2,yNP22423,,,,,,
7,D3,yNP22426,,,,,,
7,D4,yNP22431,,,,,,
7,D5,yNP22432,,,,,,
7,D6,yNP22433,,,,,,
7,D7,yNP22446,,,,,,
7,D8,yNP22447,,,,,,
7,D9,yNP22450,,,,,,
7,D10,yNP22455,,,,,,
7,D11,yNP22456,,,,,,
7,D12,yNP22457,,,,,,
7,E1,yNP22422,,,,,,
7,E2,yNP22423,,,,,,
7,E3,yNP22426,,,,,,
7,E4,yNP22431,,,,,,
7,E5,yNP22432,,,,,,
7,E6,yNP22433,,,,,,
7,E7,yNP22446,,,,,,
7,E8,yNP22447,,,,,,
7,E9,yNP22450,,,,,,
7,E10,yNP22455,,,,,,
7,E11,yNP22456,,,,,,
7,E12,yNP22457,,,,,,
7,F1,yNP22422,,,,,,
7,F2,yNP22423,,,,,,
7,F3,yNP22426,,,,,,
7,F4,yNP22431,,,,,,
7,F5,yNP22432,,,,,,
7,F6,yNP22433,,,,,,
7,F7,yNP22446,,,,,,
7,F8,yNP22447,,,,,,
7,F9,yNP22450,,,,,,
7,F10,yNP22455,,,,,,
7,F11,yNP22456,,,,,,
7,F12,yNP22457,,,,,,
7,G1,yNP22422,,,,,,
7,G2,yNP22423,,,,,,
7,G3,yNP22426,,,,,,
7,G4,yNP22431,,,,,,
7,G5,yNP22432,,,,,,
7,G6,yNP22433,,,,,,
7,G7,yNP22446,,,,,,
7,G8,yNP22447,,,,,,
7,G9,yNP22450,,,,,,
7,G10,yNP22455,,,,,,
7,G11,yNP22456,,,,,,
7,G12,yNP22457,,,,,,
7,H1,yNP22422,,,,,,
7,H2,yNP22423,,,,,,
7,H3,yNP22426,,,,,,
7,H4,yNP22431,,,,,,
7,H5,yNP22432,,,,,,
7,H6,yNP22433,,,,,,
7,H7,yNP22446,,,,,,
7,H8,yNP22447,,,,,,
7,H9,yNP22450,,,,,,
7,H10,yNP22455,,,,,,
7,H11,yNP22456,,,,,,
7,H12,yNP22457,,,,,,
8,A1,yNP22422,,,,,,
8,A2,yNP22423,,,,,,
8,A3,yNP22426,,,,,,
8,A4,yNP22431,,,,,,
8,A5,yNP22432,,,,,,
8,A6,yNP22433,,,,,,
8,A7,yNP22446,,,,,,
8,A8,yNP22447,,,,,,
8,A9,yNP22450,,,,,,
8,A10,yNP22455,,,,,,
8,A11,yNP22456,,,,,,
8,A12,yNP22457,,,,,,
8,B1,yNP22422,,,,,,
8,B2,yNP22423,,,,,,
8,B3,yNP22426,,,,,,
8,B4,yNP22431,,,,,,
8,B5,yNP22432,,,,,,
8,B6,yNP22433,,,,,,
8,B7,yNP22446,,,,,,
8,B8,yNP22447,,,,,,
8,B9,yNP22450,,,,,,
8,B10,yNP22455,,,,,,
8,B11,yNP22456,,,,,,
8,B12,yNP22457,,,,,,
8,C1,yNP22424,,,,,,
8,C2,yNP22425,,,,,,
8,C3,yNP22426,,,,,,
8,C4,yNP22428,,,,,,
8,C5,yNP22429,,,,,,
8,C6,yNP22430,,,,,,
8,C7,yNP22448,,,,,,
8,C8,yNP22449,,,,,,
8,C9,yNP22450,,,,,,
8,C10,yNP22452,,,,,,
8,C11,yNP22453,,,,,,
8,C12,yNP22454,,,,,,
8,D1,yNP22424,,,,,,
8,D2,yNP22425,,,,,,
8,D3,yNP22426,,,,,,
8,D4,yNP22428,,,,,,
8,D5,yNP22429,,,,,,
8,D6,yNP22430,,,,,,
8,D7,yNP22448,,,,,,
8,D8,yNP22449,,,,,,
8,D9,yNP22450,,,,,,
8,D10,yNP22452,,,,,,
8,D11,yNP22453,,,,,,
8,D12,yNP22454,,,,,,
8,E1,yNP22424,,,,,,
8,E2,yNP22425,,,,,,
8,E3,yNP22426,,,,,,
8,E4,yNP22428,,,,,,
8,E5,yNP22429,,,,,,
8,E6,yNP22430,,,,,,
8,E7,yNP22448,,,,,,
8,E8,yNP22449,,,,,,
8,E9,yNP22450,,,,,,
8,E10,yNP22452,,,,,,
8,E11,yNP22453,,,,,,
8,E12,yNP22454,,,,,,
8,F1,yNP22424,,,,,,
8,F2,yNP22425,,,,,,
8,F3,yNP22426,,,,,,
8,F4,yNP22428,,,,,,
8,F5,yNP22429,,,,,,
8,F6,yNP22430,,,,,,
8,F7,yNP22448,,,,,,
8,F8,yNP22449,,,,,,
8,F9,yNP22450,,,,,,
8,F10,yNP22452,,,,,,
8,F11,yNP22453,,,,,,
8,F12,yNP22454,,,,,,
8,G1,yNP22424,,,,,,
8,G2,yNP22425,,,,,,
8,G3,yNP22426,,,,,,
8,G4,yNP22428,,,,,,
8,G5,yNP22429,,,,,,
8,G6,yNP22430,,,,,,
8,G7,yNP22448,,,,,,
8,G8,yNP22449,,,,,,
8,G9,yNP22450,,,,,,
8,G10,yNP22452,,,,,,
8,G11,yNP22453,,,,,,
8,G12,yNP22454,,,,,,
8,H1,yNP22424,,,,,,
8,H2,yNP22425,,,,,,
8,H3,yNP22426,,,,,,
8,H4,yNP22428,,,,,,
8,H5,yNP22429,,,,,,
8,H6,yNP22430,,,,,,
8,H7,yNP22448,,,,,,
8,H8,yNP22449,,,,,,
8,H9,yNP22450,,,,,,
8,H10,yNP22452,,,,,,
8,H11,yNP22453,,,,,,
8,H12,yNP22454,,,,,,
9,A1,yNP22424,,,,,,
9,A2,yNP22425,,,,,,
9,A3,yNP22426,,,,,,
9,A4,yNP22428,,,,,,
9,A5,yNP22429,,,,,,
9,A6,yNP22430,,,,,,
9,A7,yNP22448,,,,,,
9,A8,yNP22449,,,,,,
9,A9,yNP22450,,,,,,
9,A10,yNP22452,,,,,,
9,A11,yNP22453,,,,,,
9,A12,yNP22454,,,,,,
9,B1,yNP22424,,,,,,
9,B2,yNP22425,,,,,,
9,B3,yNP22426,,,,,,
9,B4,yNP22428,,,,,,
9,B5,yNP22429,,,,,,
9,B6,yNP22430,,,,,,
9,B7,yNP22448,,,,,,
9,B8,yNP22449,,,,,,
9,B9,yNP22450,,,,,,
9,B10,yNP22452,,,,,,
9,B11,yNP22453,,,,,,
9,B12,yNP22454,,,,,,
9,C1,yNP22424,,,,,,
9,C2,yNP22425,,,,,,
9,C3,yNP22426,,,,,,
9,C4,yNP22428,,,,,,
9,C5,yNP22429,,,,,,
9,C6,yNP22430,,,,,,
9,C7,yNP22448,,,,,,
9,C8,yNP22449,,,,,,
9,C9,yNP22450,,,,,,
9,C10,yNP22452,,,,,,
9,C11,yNP22453,,,,,,
9,C12,yNP22454,,,,,,
9,D1,yNP22424,,,,,,
9,D2,yNP22425,,,,,,
9,D3,yNP22426,,,,,,
9,D4,yNP22428,,,,,,
9,D5,yNP22429,,,,,,
9,D6,yNP22430,,,,,,
9,D7,yNP22448,,,,,,
9,D8,yNP22449,,,,,,
9,D9,yNP22450,,,,,,
9,D10,yNP22452,,,,,,
9,D11,yNP22453,,,,,,
9,D12,yNP22454,,,,,,
9,E1,yNP22424,,,,,,
